	msm_bedais_index
111	MSM_BACKEND_DAI_QUAT_TDM_TX_3
112	MSM_BACKEND_DAI_QUAT_TDM_RX_4
113	MSM_BACKEND_DAI_QUAT_TDM_TX_4
114	MSM_BACKEND_DAI_QUAT_TDM_RX_5
115	MSM_BACKEND_DAI_QUAT_TDM_TX_5
116	MSM_BACKEND_DAI_QUAT_TDM_RX_6
117	MSM_BACKEND_DAI_QUAT_TDM_TX_6
118	MSM_BACKEND_DAI_QUAT_TDM_RX_7
119	MSM_BACKEND_DAI_QUAT_TDM_TX_7
120	MSM_BACKEND_DAI_QUIN_TDM_RX_0
121	MSM_BACKEND_DAI_QUIN_TDM_TX_0
122	MSM_BACKEND_DAI_QUIN_TDM_RX_1
123	MSM_BACKEND_DAI_QUIN_TDM_TX_1
124	MSM_BACKEND_DAI_QUIN_TDM_RX_2
125	MSM_BACKEND_DAI_QUIN_TDM_TX_2
126	MSM_BACKEND_DAI_QUIN_TDM_RX_3
127	MSM_BACKEND_DAI_QUIN_TDM_TX_3
128	MSM_BACKEND_DAI_QUIN_TDM_RX_4
129	MSM_BACKEND_DAI_QUIN_TDM_TX_4
130	MSM_BACKEND_DAI_QUIN_TDM_RX_5
131	MSM_BACKEND_DAI_QUIN_TDM_TX_5
132	MSM_BACKEND_DAI_QUIN_TDM_RX_6
133	MSM_BACKEND_DAI_QUIN_TDM_TX_6
134	MSM_BACKEND_DAI_QUIN_TDM_RX_7
135	MSM_BACKEND_DAI_QUIN_TDM_TX_7
136	MSM_BACKEND_DAI_INT_BT_A2DP_RX
137	MSM_BACKEND_DAI_USB_RX
138	MSM_BACKEND_DAI_USB_TX
139	MSM_BACKEND_DAI_DISPLAY_PORT_RX
140	MSM_BACKEND_DAI_DISPLAY_PORT_RX_1
141	MSM_BACKEND_DAI_TERT_AUXPCM_RX
142	MSM_BACKEND_DAI_TERT_AUXPCM_TX
143	MSM_BACKEND_DAI_QUAT_AUXPCM_RX
144	MSM_BACKEND_DAI_QUAT_AUXPCM_TX
145	MSM_BACKEND_DAI_QUIN_AUXPCM_RX
146	MSM_BACKEND_DAI_QUIN_AUXPCM_TX
147	MSM_BACKEND_DAI_INT0_MI2S_RX
148	MSM_BACKEND_DAI_INT0_MI2S_TX
149	MSM_BACKEND_DAI_INT1_MI2S_RX
150	MSM_BACKEND_DAI_INT1_MI2S_TX
151	MSM_BACKEND_DAI_INT2_MI2S_RX
152	MSM_BACKEND_DAI_INT2_MI2S_TX
153	MSM_BACKEND_DAI_INT3_MI2S_RX
154	MSM_BACKEND_DAI_INT3_MI2S_TX
155	MSM_BACKEND_DAI_INT4_MI2S_RX
156	MSM_BACKEND_DAI_INT4_MI2S_TX
157	MSM_BACKEND_DAI_INT5_MI2S_RX
158	MSM_BACKEND_DAI_INT5_MI2S_TX
159	MSM_BACKEND_DAI_INT6_MI2S_RX
160	MSM_BACKEND_DAI_INT6_MI2S_TX
161	MSM_BACKEND_DAI_SEN_AUXPCM_RX
162	MSM_BACKEND_DAI_SEN_AUXPCM_TX
163	MSM_BACKEND_DAI_SENARY_MI2S_RX
164	MSM_BACKEND_DAI_WSA_CDC_DMA_RX_0
165	MSM_BACKEND_DAI_WSA_CDC_DMA_TX_0
166	MSM_BACKEND_DAI_WSA_CDC_DMA_RX_1
167	MSM_BACKEND_DAI_WSA_CDC_DMA_TX_1
168	MSM_BACKEND_DAI_WSA_CDC_DMA_TX_2
169	MSM_BACKEND_DAI_VA_CDC_DMA_TX_0
170	MSM_BACKEND_DAI_VA_CDC_DMA_TX_1
171	MSM_BACKEND_DAI_RX_CDC_DMA_RX_0
172	MSM_BACKEND_DAI_TX_CDC_DMA_TX_0
173	MSM_BACKEND_DAI_RX_CDC_DMA_RX_1
174	MSM_BACKEND_DAI_TX_CDC_DMA_TX_1
