sample_rate	btav_a2dp_codec_sample_rate_t_name	btav_a2dp_codec_sample_rate_t_value
	BTAV_A2DP_CODEC_SAMPLE_RATE_NONE	0x0
44100	BTAV_A2DP_CODEC_SAMPLE_RATE_44100	0x1<<0
48000	BTAV_A2DP_CODEC_SAMPLE_RATE_48000	0x1<<1
88200	BTAV_A2DP_CODEC_SAMPLE_RATE_88200	0x1<<2
96000	BTAV_A2DP_CODEC_SAMPLE_RATE_96000	0x1<<3
176400	BTAV_A2DP_CODEC_SAMPLE_RATE_176400	0x1<<4
192000	BTAV_A2DP_CODEC_SAMPLE_RATE_192000	0x1<<5
16000	BTAV_A2DP_CODEC_SAMPLE_RATE_16000	0x1<<6
24000	BTAV_A2DP_CODEC_SAMPLE_RATE_24000	0x1<<7
