OMX.google.flac.decoder
OMX.qti.audio.decoder.flac
OMX.google.g711.alaw.decoder
OMX.google.g711.mlaw.decoder
OMX.google.gsm.decoder
OMX.google.mp3.decoder
OMX.google.opus.decoder
OMX.google.raw.decoder
OMX.google.vorbis.decoder
OMX.google.aac.encoder
OMX.google.amrnb.encoder
OMX.google.amrwb.encoder
OMX.google.flac.encoder
OMX.qcom.video.decoder.avc
OMX.qcom.video.decoder.avc.secure
OMX.google.h264.decoder
OMX.qcom.video.decoder.divx
OMX.qcom.video.decoder.divx311
OMX.qcom.video.decoder.divx4
OMX.qcom.video.decoder.h263
OMX.google.h263.decoder
OMX.qcom.video.decoder.hevc
OMX.qcom.video.decoder.hevc.secure
OMX.google.hevc.decoder
OMX.qcom.video.decoder.mpeg2
OMX.qcom.video.decoder.mpeg4
OMX.google.mpeg4.decoder
OMX.qcom.video.decoder.vc1
OMX.qcom.video.decoder.vc1.secure
OMX.qcom.video.decoder.vp8
OMX.google.vp8.decoder
OMX.qcom.video.decoder.vp9
OMX.qcom.video.decoder.vp9.secure
OMX.google.vp9.decoder
OMX.qcom.video.encoder.avc
OMX.google.h264.encoder
OMX.qcom.video.encoder.h263
OMX.google.h263.encoder
OMX.qcom.video.encoder.hevc
OMX.qcom.video.encoder.mpeg4
OMX.google.mpeg4.encoder
OMX.qcom.video.encoder.vp8
OMX.google.vp8.encoder
OMX.google.vp9.encoder
OMX.qcom.audio.encoder.aac
