	usecase_type
0	PCM_PLAYBACK
1	PCM_CAPTURE
2	VOICE_CALL
3	VOIP_CALL
4	PCM_HFP_CALL
5	TRANSCODE_LOOPBACK_RX
6	TRANSCODE_LOOPBACK_TX
7	PCM_PASSTHROUGH
8	USECASE_TYPE_MAX
